Date,Open*,High,Low,Close**,Volume,Market Cap
2018-11-09,0.051335,0.051897,0.044814,0.047031,"2,211","1,830,765"
2018-11-08,0.048294,0.05165,0.047732,0.051332,63,"1,998,194"
2018-11-07,0.049243,0.051325,0.048131,0.048327,"2,228","1,881,207"
2018-11-06,0.048273,0.052987,0.048273,0.049245,670,"1,912,181"
2018-11-05,0.050888,0.05214,0.043988,0.048088,919,"1,871,907"
2018-11-04,0.048905,0.050898,0.048521,0.050888,35,"1,980,899"
2018-11-03,0.051089,0.051362,0.048013,0.048905,298,"1,903,734"
2018-11-02,0.05247,0.052516,0.050652,0.051089,406,"1,988,735"
2018-11-01,0.045201,0.05344,0.045144,0.05247,"1,539","2,042,508"
2018-10-31,0.04578,0.046709,0.044863,0.045201,694,"1,759,529"
2018-10-30,0.049462,0.053605,0.045606,0.045625,759,"1,776,023"
2018-10-29,0.044286,0.050401,0.044049,0.049456,975,"1,925,147"
2018-10-28,0.04901,0.053798,0.043823,0.04451,500,"1,732,631"
2018-10-27,0.047622,0.055387,0.047607,0.048748,925,"1,897,599"
2018-10-26,0.050846,0.053634,0.044479,0.047806,"1,624","1,860,938"
2018-10-25,0.053566,0.053775,0.050669,0.050929,"2,048","1,982,514"
2018-10-24,0.049411,0.05597,0.047904,0.053542,"4,700","2,084,218"
2018-10-23,0.045378,0.055909,0.045269,0.049636,"1,789","1,932,189"
2018-10-22,0.044118,0.049319,0.04374,0.045382,586,"1,766,563"
2018-10-21,0.046285,0.049011,0.043841,0.04414,271,"1,718,240"
2018-10-20,0.041083,0.046275,0.040709,0.046275,498,"1,801,337"
2018-10-19,0.049079,0.055983,0.039462,0.04108,"6,231","1,599,116"
2018-10-18,0.047038,0.050627,0.046594,0.049087,"3,070","1,910,807"
2018-10-17,0.052838,0.052838,0.046245,0.046854,32,"1,823,879"
2018-10-16,0.04748,0.058509,0.047336,0.05269,"2,163","2,051,056"
2018-10-15,0.045979,0.051755,0.04566,0.04753,"1,443","1,850,198"
2018-10-14,0.04819,0.054579,0.044647,0.045586,"1,201","1,774,528"
2018-10-13,0.048529,0.049428,0.046505,0.048178,568,"1,875,434"
2018-10-12,0.047693,0.050667,0.047605,0.048528,"1,433","1,889,043"
2018-10-11,0.061057,0.063018,0.046917,0.047754,"2,059","1,858,917"
2018-10-10,0.056397,0.063144,0.055119,0.061196,312,"2,382,164"
2018-10-09,0.055174,0.060962,0.053878,0.056618,"1,063","2,203,946"
2018-10-08,0.061603,0.062669,0.054984,0.054984,"1,145","2,140,362"
2018-10-07,0.053135,0.061672,0.052865,0.06132,256,"2,386,995"
2018-10-06,0.062265,0.062711,0.052886,0.052939,"3,750","2,060,745"
2018-10-05,0.05257,0.062555,0.052519,0.062126,"1,702","2,418,366"
2018-10-04,0.061244,0.062005,0.052433,0.052433,"1,239","2,041,068"
2018-10-03,0.048617,0.061363,0.048001,0.061172,727,"2,381,222"
2018-10-02,0.053653,0.059538,0.048253,0.048593,397,"1,891,573"
2018-10-01,0.052118,0.059285,0.048603,0.053806,898,"2,094,483"
2018-09-30,0.052689,0.053064,0.050265,0.052274,"2,536","2,034,859"
2018-09-29,0.050942,0.052928,0.050036,0.052708,615,"2,051,745"
2018-09-28,0.0544,0.058839,0.050377,0.050975,269,"1,984,312"
2018-09-27,0.046386,0.055236,0.036938,0.054388,"3,613","2,117,150"
2018-09-26,0.042477,0.051636,0.040802,0.046329,"2,018","1,803,458"
2018-09-25,0.038073,0.042966,0.037457,0.042546,"1,388","1,656,186"
2018-09-24,0.043075,0.043321,0.036301,0.038116,390,"1,483,729"
2018-09-23,0.03925,0.043184,0.029824,0.043065,"8,758","1,676,378"
2018-09-22,0.046716,0.05577,0.039097,0.039231,897,"1,527,124"
2018-09-21,0.044876,0.048152,0.039834,0.04668,"1,175","1,817,087"
2018-09-20,0.040691,0.04736,0.039103,0.044863,"2,329","1,746,376"
2018-09-19,0.039647,0.058226,0.036749,0.040665,"2,944","1,582,973"
2018-09-18,0.036138,0.039604,0.03592,0.039481,"1,142","1,536,864"
2018-09-17,0.039548,0.040406,0.032387,0.036134,"6,091","1,406,591"
2018-09-16,0.03906,0.040163,0.036319,0.039451,"1,186","1,535,708"
2018-09-15,0.036392,0.043052,0.036329,0.038951,"4,363","1,516,236"
2018-09-14,0.038719,0.04354,0.034571,0.036441,"4,066","1,418,859"
2018-09-13,0.042879,0.044467,0.036393,0.038743,"4,096","1,508,498"
2018-09-12,0.048014,0.049429,0.042,0.042842,"2,407","1,668,112"
2018-09-11,0.05567,0.058685,0.04462,0.04801,"4,555","1,869,301"
2018-09-10,0.053898,0.056796,0.048236,0.055648,"1,935","2,166,722"
2018-09-09,0.061812,0.061873,0.050974,0.053926,"6,927","2,099,670"
2018-09-08,0.062715,0.065964,0.061499,0.061841,"10,562","2,407,833"
2018-09-07,0.072504,0.079057,0.06247,0.062638,"9,088","2,438,869"
